"order_id","order_status","weather_precipitation","delivery_duration_actual","delivery_duration_estimated","customer_loyalty_tier","discount_code","discount_type","total_amount","delivery_fee"
1094,completed,0.0,45.0,33,Bronze,PROMO-UFGB,percentage,73.18,7.48
1915,completed,0.0,40.0,32,Bronze,"","",51.65,4.31
4008,completed,1.9,54.0,31,Gold,"","",21.56,6.47
2874,completed,0.0,58.0,49,Silver,"","",40.27,4.74
1926,completed,0.0,51.0,49,Silver,"","",38.75,7.34
6149,completed,0.0,48.0,39,Silver,"","",77.6,2.16
9880,completed,3.3,81.0,57,Bronze,PROMO-SEYI,percentage,16.52,3.55
2336,completed,0.0,64.0,50,Bronze,"","",36.22,5.26
7690,completed,0.0,51.0,45,Bronze,"","",24.68,3.93
7007,completed,0.0,42.0,41,Bronze,"","",35.79,6.45
5724,completed,0.0,41.0,31,Bronze,"","",25.35,6.12
6642,completed,5.1,65.0,44,Bronze,"","",35.89,2.14
1179,completed,0.0,54.0,48,Bronze,"","",36.17,5.59
9110,completed,1.6,45.0,31,Silver,"","",82.03,7.01
7995,completed,0.0,60.0,47,Silver,"","",13.61,3.88
10370,completed,0.0,48.0,39,Bronze,"","",37.85,2.83
2819,completed,0.0,52.0,42,Silver,PROMO-WAKH,free_delivery,92.29,6.42
10661,completed,1.9,53.0,27,Bronze,"","",121.82,7.39
7600,completed,0.0,45.0,47,Silver,"","",18.31,5.93
4986,completed,0.0,23.0,27,Silver,"","",70.46,7.07
1856,completed,0.0,35.0,27,Bronze,PROMO-VHKM,free_delivery,9.57,7.98
3105,completed,0.0,38.0,39,Silver,"","",27.78,4.99
9093,completed,4.9,36.0,33,Bronze,"","",76.75,7.6
9558,completed,0.0,48.0,51,Silver,"","",37.62,4.06
1307,completed,0.0,45.0,39,Bronze,PROMO-CHCB,percentage,36.45,6.46
10487,completed,1.0,51.0,33,Bronze,PROMO-FKOZ,percentage,14.51,7.4
9773,completed,0.0,40.0,29,Silver,"","",26.31,5.12
7801,completed,0.0,44.0,33,Bronze,"","",36.17,5.75
1293,completed,0.0,27.0,27,Bronze,"","",25.56,7.81
2860,completed,0.0,49.0,39,Silver,PROMO-HFIV,fixed_amount,19.67,3.5
7513,completed,0.0,57.0,50,Bronze,"","",29.14,4.13
2054,completed,1.2,34.0,21,Gold,"","",19.59,6.62
8245,completed,0.0,48.0,42,Silver,PROMO-JAZA,fixed_amount,30.89,4.04
7791,completed,1.2,53.0,46,Silver,"","",41.4,4.99
4826,cancelled,9.7,,61,Bronze,"","",8.69,2.29
1133,completed,0.0,30.0,34,Bronze,"","",40.42,5.38
10785,completed,0.0,37.0,29,Bronze,"","",19.01,5.75
1393,completed,0.0,37.0,28,Bronze,"","",26.36,2.49
7064,completed,0.0,44.0,40,Bronze,"","",16.26,3.45
3295,completed,0.0,55.0,41,Silver,"","",44.56,4.59
1122,completed,0.0,50.0,40,Bronze,"","",37.91,6.68
7024,completed,3.2,70.0,45,Gold,PROMO-SHBS,percentage,14.18,2.12
10131,completed,14.2,47.0,42,Bronze,"","",13.02,3.98
6098,completed,0.0,36.0,34,Bronze,"","",58.88,2.02
2831,completed,0.0,25.0,29,Bronze,PROMO-URRH,free_delivery,6.11,5.12
9832,completed,0.0,42.0,34,Gold,PROMO-UNXK,free_delivery,86.15,4.98
7540,cancelled,0.0,,41,Bronze,PROMO-PKJS,free_delivery,22.56,6.52
2683,completed,0.0,54.0,40,Silver,"","",47.54,2.01
3599,completed,0.0,47.0,40,Bronze,"","",15.93,6.54
7947,cancelled,0.0,,44,Bronze,PROMO-HRNZ,free_delivery,33.97,7.34
3750,completed,0.0,51.0,51,Silver,"","",39.93,3.89
7983,completed,0.0,53.0,46,Bronze,"","",25.0,3.99
10057,completed,1.4,67.0,56,Bronze,"","",32.52,2.0
10935,completed,0.0,38.0,43,Bronze,PROMO-NTXH,percentage,32.54,4.56
7931,completed,0.0,28.0,33,Silver,"","",65.42,5.67
2596,completed,2.9,37.0,30,Silver,"","",15.02,2.73
1055,completed,0.0,45.0,41,Silver,"","",43.06,5.93
2625,completed,0.0,59.0,56,Bronze,PROMO-MQED,free_delivery,162.52,4.18
7741,completed,0.0,63.0,52,Bronze,"","",35.23,6.03
10721,completed,0.0,35.0,35,Bronze,"","",35.75,3.5
7721,completed,0.0,67.0,61,Bronze,"","",25.47,6.64
10019,cancelled,0.0,,34,Bronze,"","",43.16,5.28
1541,completed,0.0,35.0,31,Bronze,"","",34.41,5.19
3406,completed,7.8,73.0,60,Bronze,"","",19.36,4.92
2838,completed,0.0,43.0,34,Silver,"","",33.73,7.04
2895,completed,0.0,43.0,48,Bronze,PROMO-NVVU,fixed_amount,17.25,5.32
9998,completed,2.2,62.0,42,Gold,"","",13.55,2.95
4140,completed,0.0,58.0,56,Silver,"","",23.38,5.74
7899,completed,0.0,50.0,37,Silver,"","",37.34,5.07
6119,completed,0.0,52.0,46,Silver,"","",15.32,2.4
3248,completed,0.0,40.0,44,Bronze,"","",17.9,5.48
6335,completed,0.0,47.0,41,Silver,"","",83.33,2.47
5406,completed,0.0,38.0,42,Bronze,"","",113.86,6.34
1253,completed,0.0,67.0,59,Bronze,"","",33.09,5.92
7316,completed,0.0,58.0,44,Bronze,"","",41.07,4.95
3338,completed,3.9,65.0,49,Bronze,"","",19.97,6.48
8147,completed,0.0,41.0,32,Bronze,"","",24.52,3.67
2107,completed,0.0,49.0,53,Bronze,"","",14.6,4.67
1315,completed,0.0,51.0,40,Silver,"","",24.83,2.08
10944,cancelled,1.9,,43,Gold,"","",15.0,7.92
1512,completed,0.0,43.0,36,Bronze,"","",31.09,2.33
2543,completed,0.0,50.0,46,Gold,"","",53.9,2.62
1845,completed,0.0,41.0,37,Bronze,"","",125.92,4.96
2222,completed,0.3,49.0,33,Bronze,"","",14.27,4.25
2941,completed,3.1,43.0,31,Bronze,"","",39.39,5.18
3533,completed,0.0,48.0,41,Bronze,"","",41.34,7.0
7904,completed,0.0,46.0,47,Silver,"","",31.46,2.94
8633,completed,0.0,62.0,59,Bronze,"","",45.63,5.83
4797,completed,0.0,45.0,45,Silver,"","",28.81,2.1
6099,completed,0.0,36.0,33,Bronze,"","",32.92,6.73
6012,completed,0.0,46.0,46,Bronze,"","",23.6,6.88
10823,completed,0.0,39.0,44,Silver,"","",15.23,4.27
10763,completed,0.0,41.0,34,Silver,"","",44.49,3.03
2642,completed,0.0,38.0,43,Bronze,"","",56.65,6.86
5135,completed,8.4,56.0,46,Bronze,"","",36.45,7.45
1619,completed,0.0,40.0,27,Bronze,"","",11.81,2.44
9586,completed,0.0,35.0,40,Silver,"","",27.19,5.47
8597,completed,0.0,38.0,41,Silver,"","",69.19,7.62
6077,completed,0.0,41.0,41,Bronze,"","",13.02,5.85
5769,completed,0.0,31.0,29,Bronze,"","",25.88,6.91
7346,completed,0.0,23.0,26,Gold,PROMO-IKHT,free_delivery,6.93,3.37
8972,completed,0.0,69.0,55,Gold,"","",25.82,2.6
